University Name,Qualification Type,Course Name,Campus Location,Class Timings
Victoria College of Arts and Design,Other,Business Management with foundation year,London,Weekend
London Met,BSc (Hons) with Foundation Year,BSc Business Management with Foundation,Manchester,Weekend
Bath Spa University,BA (Hons),BA Business Management Year 1 (Blended),London,Weekend
Northumbria University,MSc,MSc Programme and Project Management (Part Time),London,Weekend
Solent University ,BSc (Hons) with Foundation Year,BSc Psychology with Foundation Year,London,Weekend
London Met,BSc (Hons),BSc Health and Social Care,London,Weekend
LCCA,BA (Hons),BA (Hons) Business Management and Entrepreneurship (Weekend),London,Weekend
Solent University ,BSc (Hons) ,BSc Cyber Security ,Birmingham,Weekend
Northumbria University,MSc,MSc Cyber Security (Part Time),London,Weekend
London Met,BSc (Hons) with Foundation Year,BSc Health and Social Care with foundation year,London,Weekend
Solent University ,BSc (Hons),BSc Computer Science,Birmingham,Weekend
UWTSD,BA (Hons),BA Business Management - Weekend,London,Weekend
Northumbria University,MSc,MSc Business with International Management (Part Time),London,Weekend
Solent University ,BSc (Hons) with Foundation Year,BSc Business Management with foundation year,London,Weekend
Bath Spa University,BA (Hons),BA Business Management Year 1 (Blended),Leeds,Weekend
LCCA,BA (Hons),BA (Hons) Business Management and Entrepreneurship year 2 (Weekend),London,Weekend
ARU,MBA,MBA Health and Social Care (Daytime and Evening and Weekend Delivery),London,"Weekdays, Evening and Weekend"
ARU,MBA,MBA International (Daytime and Evening and Weekend Delivery),London,"Weekdays, Evening and Weekend"
ARU,MSc,MSc International Project Management (Daytime and Evening and Weekend Delivery),London,"Weekdays, Evening and Weekend"
Solent University ,BSc (Hons),BSc Business Management ,London,Weekdays  / Weekend 
Solent University ,BSc (Hons) with Foundation Year,BSc Business Management with foundation year,Manchester,Weekdays  
Solent University ,BSc (Hons),BSc Business Management ,London,Weekdays  
Solent University ,BSc (Hons) with Foundation Year,BSc Psychology with Foundation Year,Birmingham,Weekdays  
Solent University ,BSc (Hons) with Foundation Year,BSc Business Management with foundation year,London,Weekdays  
Solent University ,BSc (Hons) with Foundation Year,BSc Business Management with foundation year,Birmingham,Weekdays  
Solent University ,BSc (Hons),BSc Business Management ,Birmingham,Weekdays  
Solent University ,BSc (Hons),BSc Business Management ,Manchester,Weekdays  
Roehampton Main Campus,CertHE,Criminology and Criminal Justice CertHe,London,Weekdays
ARU,BSc (Hons),BSc (Hons) Business and Hospitality Management,London,Weekdays
Northumbria University,BSc (Hons),BSc Global Business Management (Human Resource Management) Level 6,London,Weekdays
GBS (OBU),BA (Hons),BA (Hons) Global Business and Entrepreneurship with foundation,Birmingham,Weekdays
DGHE ,Other,HND Digital Technologies (Artificial Intelligence),London,Weekdays
ARU,BSc (Hons) with Foundation Year,BSc (Hons) Business and Hospitality Management with Foundation Year,London,Weekdays
Ulster University,MSc,MSc International Business,Manchester,Weekdays
ARU,BSc (Hons),BSc (Hons) Finance and Accounting,London,Weekdays
Roehampton Main Campus,BSc (Hons),Architectural Technology BSc,London,Weekdays
GBS (OBU),BA (Hons),BA (Hons) Global Business and Entrepreneurship with foundation,London,Weekdays
Ulster University,MBA,MBA,Manchester,Weekdays
Bath Spa University,MBA,Leadership - MBA (Blended),London,Weekdays
Roehampton Main Campus,Other,Business Management,London,Weekdays
Ulster University,MBA,MBA,London,Weekdays
Northumbria University,BSc (Hons),BSc Global Business Management Level 6,London,Weekdays
Northumbria University,BSc (Hons),BSc Global Business Management Level 5,London,Weekdays
Roehampton Main Campus,Other,Early Childhood Studies,London,Weekdays
Ulster University,MSc,Extended MSc International Business with Data Analytics,Manchester,Weekdays
Northumbria University,BSc (Hons),BSc (Hons) Business Enterprise and Innovation Management Level 5,London,Weekdays
UCLan,BSc (Hons),BSc (Hons) Psychology ,London,Weekdays
Coventry University,Other,Engineering with foundation year,Request from Admin,Weekdays
Newcastle College Group,CertHE,CertHE Computing,London,Weekdays
Northumbria University,MSc,MSc Artificial Intelligence Technology,London,Weekdays
Ulster University,MSc,Extended MSc International Business,London,Weekdays
Ulster University,MSc,Extended MSc International Business,Birmingham,Weekdays
Roehampton Main Campus,Other,Human Rights and International Relations,London,Weekdays
Ulster University,MSc,Extended MSc Marketing,Birmingham,Weekdays
Coventry University,Other,Professional Accounting,Request from Admin,Weekdays
Newcastle College Group,CertHE,CertHE Business Management,Leicester,Weekdays
Arden,BSc (Hons) with Foundation Year,BSc (Hons) Supply Chain Management with Foundation Year,London,Weekdays
Northumbria University,BSc (Hons),BSc (Hons) Business Enterprise and Innovation Management Level 6,London,Weekdays
Roehampton Main Campus,Other,Business Management and Entrepreneurship,London,Weekdays
Ulster University,MSc,Extended MSc International Business with Human Resource Management ,Manchester,Weekdays
Arden,BSc (Hons),BSc (Hons) Project Management,Birmingham,Weekdays
Roehampton Main Campus,Other,Business Management and Marketing (Top-Up),London,Weekdays
ARU,BSc (Hons) with Foundation Year,BSc (Hons) Business and Law with Foundation Year,London,Weekdays
Northumbria University,BSc (Hons),BSc Global Business Management (Logistics and Supply Chain) Level 5,London,Weekdays
Solent University ,BSc (Hons),BSc Computer Science,Birmingham,Weekdays
Ulster University,MSc,MSc Computer Science and Technology with Business Development,Manchester,Weekdays
Arden,BSc (Hons),BSc (Hons) Psychology & Counselling,Birmingham,Weekdays
London Met,BSc (Hons) ,BSc Business Management,Birmingham,Weekdays
ARU,MSc,MSc Accounting and Financial Management (Daytime Delivery),London,Weekdays
Ulster University,MSc,MSc Marketing,London,Weekdays
Newcastle College Group,FdA,FdA Business Management (2 years),Birmingham,Weekdays
Ulster University,MSc,MSc Marketing,Manchester,Weekdays
Newcastle College Group,FdA,"FdA Integrated Health, Social Care and Wellbeing (2 years)",Birmingham,Weekdays
CCCU (Canterbury Christ Church University),BSc (Hons) with Foundation Year,BSc (Hons) Business and Tourism Management with foundation year,Northampton,Weekdays
Roehampton Main Campus,Other,Architectural Technology DipHe,London,Weekdays
ARU,BSc (Hons) with Foundation Year,BSc (Hons) Business and Tourism Management with Foundation Year,London,Weekdays
SMU,Other,Business Management and Marketing with foundation year,London,Weekdays
Newcastle College Group,FdA,FdA Business Management (2 years),Leicester,Weekdays
Newcastle College Group,FdA,FdA Business Management (2 years),Leeds,Weekdays
Roehampton Main Campus,Other,Accounting Studies (Top-Up),London,Weekdays
CCCU (Canterbury Christ Church University),BSc (Hons) with Foundation Year,BSc (Hons) Business and Tourism Management with foundation year,Manchester,Weekdays
Bath Spa University,BA (Hons),BA Business Management Year 1 (Blended),Leeds,Weekdays
GBS (BSU),BSc (Hons) with Foundation Year,BSc (Hons) Construction Management with foundation year,Leeds,Weekdays
Northumbria University,BSc (Hons),BSc Accounting and Finance Level 5,London,Weekdays
UoBM,BSc (Hons),BSc (Hons) International Business Management,Manchester,Weekdays
LCCM,BA (Hons) with Foundation Year,BA (Hons) Commerical Music with foundation,London,Weekdays
ARU,BSc (Hons) Top-Up,BSc (Hons) International Business Management Top-Up,London,Weekdays
Ulster University,BSc (Hons),BSc Computing Science,London,Weekdays
DGHE ,Other,HND Business,London,Weekdays
Bath Spa University,BA (Hons) with Foundation Year,BA (Hons) Business & Management with foundation year (Blended),Birmingham,Weekdays
Ulster University,BSc (Hons),BSc Accounting with Management,London,Weekdays
LCCA,BA (Hons),BA (Hons) Fashion Media and Promotion ,London,Weekdays
Northumbria University,MSc,MSc Business with Marketing Management,London,Weekdays
Roehampton Main Campus,Other,Cyber Security,London,Weekdays
Coventry University,Other,Electro-Mechanical Engineering,Request from Admin,Weekdays
Roehampton Main Campus,Other,Physiotherapy,London,Weekdays
Northumbria University,MSc,MSc Business with Financial Management,London,Weekdays
Northumbria University,MSc,MSc Business with Business Analytics,London,Weekdays
Northumbria University,MA,MA/MSc Innovation and Creative Strategy ,London,Weekdays
GBS (BSU),BSc (Hons) with Foundation Year,BSc (Hons) Construction Management with foundation year,Manchester,Weekdays
Northumbria University,BSc (Hons),"BSc International Tourism, Hospitality and Events Level 5",London,Weekdays
LCCM,Other,"BMus (Hons) Composition for Film, Games and other media with foundation ",London,Weekdays
Roehampton Main Campus,Other,Global Logistics and Supply Chain Management,London,Weekdays
Roehampton Main Campus,Other,Computing HNC,London,Weekdays
Solent University ,BSc (Hons),BSc Cyber Security,London,Weekdays
Roehampton Main Campus,BSc (Hons),Computing and Business (BSc),London,Weekdays
Roehampton Main Campus,Other,Education Leadership and Management (top-up),London,Weekdays
Roehampton Main Campus,Other,Computer Science (Top-Up),London,Weekdays
Roehampton Main Campus,Other,Digital Marketing,London,Weekdays
LCCA,BA (Hons) Top-Up,BA (Hons) Fashion Management and Marketing Top-Up,London,Weekdays
Roehampton Main Campus,Other,Dance and Embodied Practice,London,Weekdays
Ulster University,BSc (Hons),BSc Computing with Artifical Intelligence Technology Level 6,London,Weekdays
Roehampton Main Campus,Other,Computing,London,Weekdays
LCCA,BA (Hons) Top-Up,BA (Hons) Hospitality Management and Leadership Top-Up,London,Weekdays
Ulster University,BSc (Hons),BSc Computing with Artifical Intelligence Technology,London,Weekdays
LCCA,BA (Hons) with Foundation Year,BA (Hons) Fashion with foundation,London,Weekdays
Northumbria University,BSc (Hons),BSc Computing with Information Technology Management Level 5,London,Weekdays
LCCA,BA (Hons) Top-Up,BA (Hons) Fashion Media and Promotion Top-Up,London,Weekdays
Solent University ,BSc (Hons) with Foundation Year,BSc Cyber Security with foundation year,Manchester,Weekdays
UoBM,BSc (Hons),BSc (Hons) Accounting and Finance ,Manchester,Weekdays
Solent University ,BSc (Hons) ,BSc Cyber Security ,Manchester,Weekdays
Roehampton Main Campus,Other,Human Rights and Legal Practice,London,Weekdays
Roehampton Main Campus,Other,Computing and Digital Technologies ,London,Weekdays
LCCM,Other,"BMus (Hons) Composition for Film, Games and other media ",London,Weekdays
Roehampton Main Campus,Other,Computing HND,London,Weekdays
Roehampton Main Campus,Other,International Commercial Law and Legal Practice,London,Weekdays
Northumbria University,BSc (Hons),"BSc International Tourism, Hospitality and Events Level 6",London,Weekdays
Roehampton Main Campus,MBA,MBA (with placement),London,Weekdays
Northumbria University,MA,MA Luxury Brand Management,London,Weekdays
Roehampton Main Campus,Other,Nutrition and Metabolic Disorders (MRes),London,Weekdays
Northumbria University,MSc,MSc Business with Entrepreneurship,London,Weekdays
Coventry University,Other,Public Health and Community Studies,Request from Admin,Weekdays
Northumbria University,MSc,MSc Business with Hospitality and Tourism Management,London,Weekdays
Northumbria University,MSc,MSc Business with Human Resource Management,London,Weekdays
Roehampton Main Campus,BSc (Hons),Cyber Security BSc (Top-Up),London,Weekdays
LCCA,BA (Hons),BA (Hons) Hospitality Management and Leadership year 2,London,Weekdays
Northumbria University,MSc,"MSc Global Logistics, Operations and Supply Chain Management",London,Weekdays
UCLan,BSc (Hons),BSc (Hons) Computing,London,Weekdays
LCCA,BA (Hons),BA (Hons) Grpahic Design,London,Weekdays
DGHE ,BA (Hons),BA (Hons) Business Management,London,Weekdays
Bath Spa University,BA (Hons) Top-Up,BA Business Management Top-Up (1 Year) (Blended),London,Weekdays
Northumbria University,BSc (Hons),BSc International Banking and Finance Level 6,London,Weekdays
Arden,BSc (Hons),BSc (Hons) Computing,London,Weekdays
CCCU (Canterbury Christ Church University),BSc (Hons) with Foundation Year,BSc (Hons) Business and Tourism Management with foundation year,Birmingham,Weekdays
Arden,BA (Hons),BA (Hons) Criminology and Psychology,Manchester,Weekdays
DGHE ,CertHE,Certificate in Higher Education in Health and Social Care,London,Weekdays
LCCM,Other,Commercial Music  ,London,Weekdays
Victoria College of Arts and Design,Other,Business Management with foundation year,London,Weekdays
Coventry University,Other,Primary Education and Teaching Studies,Request from Admin,Weekdays
SMU,Other,Business Management and Marketing with foundation year,Manchester,Weekdays
LCCM,BA (Hons) with Foundation Year,BA (Hons) Music Business Management with foundation ,London,Weekdays
Northumbria University,MSc,MSc Technology for Sustainable Cities,London,Weekdays
Bath Spa University,BA (Hons) with Foundation Year,BA (Hons) Business & Management with foundation year (Blended),Leicester,Weekdays
CCCU (Canterbury Christ Church University),BSc (Hons) with Foundation Year,BSc (Hons) Accounting and Finance with foundation year,Northampton,Weekdays
UoBM,BSc (Hons) with Foundation Year,BSc (Hons) International Business Management with foundation ,Manchester,Weekdays
Newcastle College Group,CertHE,CertHE Computing,Leeds,Weekdays
Coventry University,Other,Cloud Computing,Request from Admin,Weekdays
DGHE ,BA (Hons) With Foundation Year,BA (Hons) Business Management (with Foundation Year),London,Weekdays
Coventry University,Other,Business with foundation year,Request from Admin,Weekdays
Newcastle College Group,CertHE,CertHE Business Management,Birmingham,Weekdays
GBS (OBU),BSc (Hons),"BSc (Hons) Health, Wellbeing and Social Care with foundation ",Manchester,Weekdays
Ulster University,MSc,Extended MSc International Business with Data Analytics,Birmingham,Weekdays
Newcastle College Group,FdSc,FdSc Computing (2years),Leeds,Weekdays
Newcastle College Group,FdSc,FdSc Computing (2years),Northampton,Weekdays
Bath Spa University,Other,BSc (Hons) Computing with foundation Year,London,Weekdays
Solent University ,BSc (Hons) with Foundation Year,BSc Computer Science with foundation year,London,Weekdays
Coventry University,Other,Applied Biosciences,Request from Admin,Weekdays
Newcastle College Group,FdA,"FdA Integrated Health, Social Care and Wellbeing (2 years)",Northampton,Weekdays
Ulster University,MSc,MSc International Business with Human Resource Management,Birmingham,Weekdays
Bath Spa University,Other,Health & Social Care (Blended),Leeds,Weekdays
London Met,BSc (Hons),BSc Health and Social Care,Birmingham,Weekdays
Bath Spa University,MBA,Leadership - MBA (Blended),Birmingham,Weekdays
DGHE ,Other,HND Public Services,London,Weekdays
Solent University ,BSc (Hons) ,BSc Cyber Security ,Birmingham,Weekdays
UWTSD,BSc (Hons),BSc Applied Computing (Level 5&6),Birmingham,Weekdays
ARU,BSc (Hons),BSc (Hons) Business and Tourism Management,London,Weekdays
ARU,BSc (Hons),BSc (Hons) Business and Human Resource Management,London,Weekdays
Solent University ,BSc (Hons) with Foundation Year,BSc Computer Science with foundation year,Birmingham,Weekdays
Roehampton Main Campus,BA (Hons),Dance (Top-Up) BA,London,Weekdays
ARU,BSc (Hons) with Foundation Year,BSc (Hons) International Business Management with Foundation Year,London,Weekdays
ARU,BSc (Hons),BSc (Hons) International Business Management,London,Weekdays
ARU,BSc (Hons) with Foundation Year,BSc (Hons) Finance and Accounting with Foundation Year,London,Weekdays
Roehampton Main Campus,BSc (Hons),Finance and Accounting (BSc),London,Weekdays
Ulster University,MSc,MSc International Business,London,Weekdays
Arden,BA (Hons) Top-Up Level 6,BSc (Hons) Computing Top-Up,London,Weekdays
ARU,LLB (Hons),LLB (Hons) Law,London,Weekdays
UCLan,BSc (Hons),BSc (Hons) Mental Health and Well Being,London,Weekdays
ARU,MSc,MSc International Hospitality and Tourism Management (Daytime Delivery),London,Weekdays
ARU,LLM,LLM Law (Daytime Delivery),London,Weekdays
Roehampton Main Campus,Other,Sport & Exercise Sciences,London,Weekdays
UWTSD,CertHE,CertHE Employability Skills,Cardiff,Weekdays
Ulster University,MSc,MSc International Business with Data Analytics,Birmingham,Weekdays
Roehampton Main Campus,BSc (Hons),Accounting BSc,London,Weekdays
ARU,BSc (Hons) with Foundation Year,BSc (Hons) Business and Marketing with Foundation Year,London,Weekdays
UWTSD,CertHE,Certificate of Higher Education Business Skills for the Workplace,London,Weekdays
London Met,BSc (Hons) ,BSc Business Management,London,Weekdays
Northumbria University,MSc,MSc Computing and Technology,London,Weekdays
Northumbria University,BSc (Hons),BSc Global Business Management (Human Resource Management) Level 5,London,Weekdays
Northumbria University,MSc,MSc Digital Marketing,London,Weekdays
Roehampton Main Campus,CertHE,Architectural Technology CertHE,London,Weekdays
Roehampton Main Campus,Other,Psychology,London,Weekdays
Arden,BA (Hons) with Foundation Year,BA (Hons) Business Management with Foundation Year,Manchester,Weekdays
Roehampton Main Campus,Other,"Choreomundus: International Master in Dance Knowledge, Practice and Heritage",London,Weekdays
Ulster University,BSc (Hons),BSc Computing with Cyber Security Technology Level 5,London,Weekdays
GBS (BSU),BSc (Hons) with Foundation Year,BSc (Hons) Construction Management with foundation year,Birmingham,Weekdays
Ulster University,BSc (Hons),BSc Computing with Cyber Security Technology,London,Weekdays
Roehampton Main Campus,Other,Cell Biomedicine (MRes),London,Weekdays
Northumbria University,BSc (Hons),BSc Computing with Data Science and Big Data Technology Level 6,London,Weekdays
Northumbria University,BSc (Hons),BSc Computing with Data Science and Big Data Technology,London,Weekdays
Arden,BA (Hons) Top-Up Level 6,BSc (Hons) Computing Top-Up,Birmingham,Weekdays
Solent University ,BSc (Hons) with Foundation Year,BSc Computer Science with foundation year,Manchester,Weekdays
Arden,CertHE,CertHE Computing,Birmingham,Weekdays
Arden,CertHE,CertHE Health and Care,London,Weekdays
Roehampton Main Campus,Other,Advanced Clinical Practice,London,Weekdays
Solent University ,BSc (Hons) with Foundation Year,BSc Cyber Security with foundation year,Birmingham,Weekdays
Solent University ,BSc (Hons) with Foundation Year,BSc Cyber Security with foundation year,London,Weekdays
Northumbria University,BSc (Hons),BSc Computing with technology Level 6,London,Weekdays
Roehampton Main Campus,Other,International Business and Finance (Top-Up),London,Weekdays
Northumbria University,BSc (Hons),BSc Computing with technology Level 5,London,Weekdays
Arden,BA (Hons) with Foundation Year,BA (Hons) Criminology with Foundation Year,London,Weekdays
Roehampton Main Campus,Other,"Philosophy, Religion and Ethics",London,Weekdays
Northumbria University,BSc (Hons),BSc Computing with technology ,London,Weekdays
Bath Spa University,Other,Health & Social Care (Blended),Northampton,Weekdays
Roehampton Main Campus,Other,Liberal Arts,London,Weekdays
Roehampton Main Campus,Other,International Business (Top-Up),London,Weekdays
Roehampton Main Campus,Other,Criminology and Criminal Justice,London,Weekdays
London Met,BSc (Hons) with Foundation Year,BSc Health and Social Care with foundation year,London,Weekdays
ARU,BSc (Hons),BSc (Hons) Business and Law,London,Weekdays
Roehampton Main Campus,Other,History,London,Weekdays
Arden,BSc (Hons),BSc (Hons) Psychology & Counselling,Leeds,Weekdays
Arden,BSc (Hons),BSc (Hons) Psychology,Leeds,Weekdays
Roehampton Main Campus,Other,Digital Technologies HND,London,Weekdays
Arden,BSc (Hons),BSc (Hons) Psychology,London,Weekdays
Roehampton Main Campus,BA (Hons),Digital Media (BA),London,Weekdays
Roehampton Main Campus,CertHE,Biblical Studies and Theology CertHe,London,Weekdays
Arden,BA (Hons) with Foundation Year,BA (Hons) Psychology with Foundation Year,Birmingham,Weekdays
Roehampton Main Campus,Other,Business Management and Marketing,London,Weekdays
GBS (OBU),BSc (Hons),"BSc (Hons) Health, Wellbeing and Social Care with foundation ",Leeds,Weekdays
Roehampton Main Campus,Other,International Relations and Politics,London,Weekdays
Roehampton Main Campus,CertHE,Law and Politics (CertHe),London,Weekdays
Newcastle College Group,CertHE,CertHE Health and Social Care,Birmingham,Weekdays
Newcastle College Group,CertHE,CertHE Health and Social Care,London,Weekdays
Roehampton Main Campus,Other,Digital Design,London,Weekdays
Arden,BA (Hons) with Foundation Year,BA (Hons) Psychology and Counselling with Foundation Year,Leeds,Weekdays
Arden,BSc (Hons),BSc (Hons) Psychology,Manchester,Weekdays
Roehampton Main Campus,Other,Computer Games Programming,London,Weekdays
Arden,BA (Hons) with Foundation Year,BA (Hons) Psychology and Counselling with Foundation Year,Manchester,Weekdays
LCCA,BA (Hons),BA (Hons) Fashion year 2,London,Weekdays
LCCA,BA (Hons),BA (Hons) Fashion,London,Weekdays
Bath Spa University,Other,BSc (Hons) Health & Social Care with foundation Year (Blended),London,Weekdays
Arden,BA (Hons) with Foundation Year,BA (Hons) Criminology and Psychology with Foundation Year,Birmingham,Weekdays
ARU,BSc (Hons) with Foundation Year,BSc (Hons) Business and Events Management with Foundation Year,London,Weekdays
Arden,BSc (Hons) with Foundation Year,BSc (Hons) International Hospitality and Tourism Management with Foundation Year ,Leeds,Weekdays
Northumbria University,BSc (Hons),BSc Global Business Management (Logistics and Supply Chain) Level 6,London,Weekdays
Arden,BSc (Hons) with Foundation Year,BSc (Hons) International Hospitality and Tourism Management with Foundation Year ,Manchester,Weekdays
Roehampton Main Campus,Other,Criminology and Criminal Justice with Sociology,London,Weekdays
Roehampton Main Campus,Other,Nutrition and Health ,London,Weekdays
Arden,BA (Hons),BA (Hons) Criminology,Birmingham,Weekdays
Roehampton Main Campus,Other,Primary Education Studies,London,Weekdays
Roehampton Main Campus,Other,Sociology,London,Weekdays
Roehampton Main Campus,Other,Software Engineering,London,Weekdays
Roehampton Main Campus,Other,Software Engineering (Top - Up),London,Weekdays
Roehampton Main Campus,Other,Supporting Successful Learning (Certificate of Lifelong Learning) Part-Time,London,Weekdays
Northumbria University,BSc (Hons),BSc Computing with Information Security Management,London,Weekdays
Roehampton Main Campus,Other,Zoology,London,Weekdays
LCCA,BA (Hons) Top-Up,BA (Hons) Grpahic Design Top-Up,London,Weekdays
Roehampton Main Campus,Other,Applied Cognitive Neuroscience,London,Weekdays
Roehampton Main Campus,Other,Art Psychotherapy,London,Weekdays
Northumbria University,BSc (Hons),BSc Computing with Data Science and Big Data Technology Level 5,London,Weekdays
LCCA,BA (Hons),BA (Hons) Business Management and Entrepreneurship ,London,Weekdays
Roehampton Main Campus,Other,Children's Literature (distance-learning),London,Weekdays
Roehampton Main Campus,Other,Choreography & Performance (MRes),London,Weekdays
LCCA,BA (Hons) Top-Up,BA (Hons) Business Management and Entrepreneurship Top-Up,London,Weekdays
LCCA,BA (Hons) with Foundation Year,BA (Hons) Hospitality Management and Leadership with foundation,London,Weekdays
Roehampton Main Campus,Other,Clinical Neuroscience,London,Weekdays
Ulster University,BSc (Hons),BSc Computing with Cyber Security Technology Level 6,London,Weekdays
Roehampton Main Campus,Other,Coaching and Mentoring PGCert,London,Weekdays
Ulster University,BSc (Hons),BSc Computing Science with Diploma in Professional Practice,London,Weekdays
Roehampton Main Campus,Other,Computing with Placement,London,Weekdays
Ulster University,BSc (Hons),BSc Computing with Artifical Intelligence Technology Level 5,London,Weekdays
Roehampton Main Campus,Other,Creative Writing,London,Weekdays
Coventry University,Other,Health and Social Care,Request from Admin,Weekdays
Roehampton Main Campus,Other,Dance Movement Psychotherapy,London,Weekdays
Roehampton Main Campus,Other,Dance Practice and Performance,London,Weekdays
Roehampton Main Campus,Other,Data Science,London,Weekdays
LCCA,BA (Hons) with Foundation Year,BA (Hons) Grpahic Design with foundation,London,Weekdays
Roehampton Main Campus,Other,"Ecology, Evolution and Behaviour (MbyRes)",London,Weekdays
Roehampton Main Campus,Other,Education,London,Weekdays
Northumbria University,BSc (Hons),BSc Computing with Information Technology Management Level 6,London,Weekdays
Arden,BSc (Hons),BSc (Hons) Project Management,London,Weekdays
Roehampton Main Campus,MSc,Engineering Project Management (MSc),London,Weekdays
Roehampton Main Campus,Other,Erasmus Mundus Human Rights Policy and Practice,London,Weekdays
Roehampton Main Campus,Other,Computer Science,London,Weekdays
Arden,BA (Hons) with Foundation Year,BA (Hons) Psychology and Counselling with Foundation Year,London,Weekdays
Roehampton Main Campus,Other,Forensic Psychology,London,Weekdays
Roehampton Main Campus,Other,Global Bus Mgt/Global HRM/Bus Mgt/Financial Mgt/Mkt Mgt,London,Weekdays
Roehampton Main Campus,Other,Global Human Resources Management (Top-up),London,Weekdays
LCCA,BA (Hons),BA (Hons) Hospitality Management and Leadership,London,Weekdays
Roehampton Main Campus,Other,Global Marketing,London,Weekdays
Roehampton Main Campus,Other,"Integrative Counselling and Psychotherapy (3 years, Part-time)",London,Weekdays
Roehampton Main Campus,Other,"Integrative Counselling and Psychotherapy for Children, Adolescents and Families (3 years, Part-time)",London,Weekdays
LCCM,Other,MMus Music Performance,London,Weekdays
Roehampton Main Campus,Other,International Relations,London,Weekdays
Roehampton Main Campus,MBA,MBA,London,Weekdays
Roehampton Main Campus,MBA,MBA (Top-up),London,Weekdays
UWTSD,CertHE,Certificate of Higher Education Skills for the Workplace (Health and Social Care),London,Weekdays
